"""","平成２８年９月１日現在_人口_総数","平成２８年９月１日現在_人口_男","平成２８年９月１日現在_人口_女","平成２８年９月１日現在_世帯数","対前月増減_人口","対前月増減_世帯数","前月_人口","前月_世帯数"
"県       計","954674.0","449064.0","505610.0","392991.0","-700.0","-15.0","955374.0","393006.0"
"市　部　計","746920.0","351757.0","395163.0","308708.0","-522.0","-22.0","747442.0","308730.0"
"郡　部　計","207754.0","97307.0","110447.0","84283.0","-178.0","7.0","207932.0","84276.0"
"和 歌 山 市","362384.0","170393.0","191991.0","153725.0","-191.0","16.0","362575.0","153709.0"
"海   南   市","51163.0","23829.0","27334.0","20636.0","-84.0","-3.0","51247.0","20639.0"
"橋   本   市","62979.0","29601.0","33378.0","23680.0","-32.0","-6.0","63011.0","23686.0"
"有   田   市","27985.0","13250.0","14735.0","10584.0","-56.0","-8.0","28041.0","10592.0"
"御   坊   市","24456.0","11836.0","12620.0","9960.0","-48.0","-5.0","24504.0","9965.0"
"田   辺   市","73816.0","34583.0","39233.0","32102.0","-63.0","-19.0","73879.0","32121.0"
"新   宮   市","28788.0","13368.0","15420.0","13485.0","-36.0","-22.0","28824.0","13507.0"
"紀の川市","61878.0","29171.0","32707.0","23514.0","-43.0","2.0","61921.0","23512.0"
"岩出市","53471.0","25726.0","27745.0","21022.0","31.0","23.0","53440.0","20999.0"
"海草郡","9013.0","4130.0","4883.0","3718.0","-4.0","2.0","9017.0","3716.0"
"紀美野町","9013.0","4130.0","4883.0","3718.0","-4.0","2.0","9017.0","3716.0"
"伊都郡","24299.0","11419.0","12880.0","9402.0","-33.0","0.0","24332.0","9402.0"
"かつらぎ町","16704.0","7738.0","8966.0","6323.0","-13.0","2.0","16717.0","6321.0"
"九 度 山 町","4304.0","1973.0","2331.0","1626.0","-10.0","1.0","4314.0","1625.0"
"高   野   町","3291.0","1708.0","1583.0","1453.0","-10.0","-3.0","3301.0","1456.0"
"有田郡","45291.0","21223.0","24068.0","16763.0","-14.0","19.0","45305.0","16744.0"
"湯   浅   町","11971.0","5570.0","6401.0","4753.0","-12.0","-1.0","11983.0","4754.0"
"広   川   町","7065.0","3306.0","3759.0","2504.0","-2.0","4.0","7067.0","2500.0"
"有田川町","26255.0","12347.0","13908.0","9506.0","0.0","16.0","26255.0","9490.0"
"日高郡","50944.0","24118.0","26826.0","18986.0","-38.0","6.0","50982.0","18980.0"
"美   浜   町","7393.0","3394.0","3999.0","2965.0","-18.0","-7.0","7411.0","2972.0"
"日   高   町","7665.0","3646.0","4019.0","2799.0","8.0","1.0","7657.0","2798.0"
"由   良   町","5746.0","2832.0","2914.0","2226.0","2.0","2.0","5744.0","2224.0"
"印   南   町","7953.0","3717.0","4236.0","2918.0","-14.0","3.0","7967.0","2915.0"
"みなべ町","12567.0","5968.0","6599.0","4434.0","-9.0","4.0","12576.0","4430.0"
"日高川町","9620.0","4561.0","5059.0","3644.0","-7.0","3.0","9627.0","3641.0"
"西牟婁郡","40283.0","18849.0","21434.0","17504.0","-30.0","-3.0","40313.0","17507.0"
"白   浜   町","21221.0","9806.0","11415.0","9490.0","-2.0","4.0","21223.0","9486.0"
"上 富 田 町","15036.0","7131.0","7905.0","6113.0","-6.0","2.0","15042.0","6111.0"
"す さ み 町","4026.0","1912.0","2114.0","1901.0","-22.0","-9.0","4048.0","1910.0"
"東牟婁郡","37924.0","17568.0","20356.0","17910.0","-59.0","-17.0","37983.0","17927.0"
"那智勝浦町","15404.0","7074.0","8330.0","7243.0","-20.0","-6.0","15424.0","7249.0"
"太   地   町","3065.0","1386.0","1679.0","1384.0","3.0","1.0","3062.0","1383.0"
"古 座 川 町","2750.0","1246.0","1504.0","1345.0","-13.0","-4.0","2763.0","1349.0"
"北   山   村","431.0","194.0","237.0","238.0","-1.0","0.0","432.0","238.0"
"串本町","16274.0","7668.0","8606.0","7700.0","-28.0","-8.0","16302.0","7708.0"
